id,name,age,prof_id
169,Авдей,95,161
170,Бенедикт,55,132
171,Гелла,71,202
172,Емельян,67,195
173,Галина,68,44
174,Фаина,98,146
175,Евдоким,22,196
176,Раис,18,111
177,Эльвира,28,118
178,Арина,35,242
179,Артемий,48,164
180,Архип,44,290
181,Владислав,67,280
182,Фелиция,84,18
183,Гражина,37,199
184,Аваз,59,130
185,Элеонора,23,134
186,Гавриил,75,162
187,Серафим,82,282
188,Вадим,18,48
189,Санта,76,125
190,Эдда,65,15
191,Устина,45,70
192,Осип,65,103
193,Тимур,48,62
194,Зоя,71,281
195,Гражина,82,237
196,Тамаз,22,284
197,Алина,92,92
198,Спартак,48,89
199,Аида,54,141
200,Зинаида,36,293
201,Джулия,33,191
202,Владислав,81,82
203,Иоланта,76,110
204,Адриан,29,99
205,Юлиан,30,267
206,Спартак,60,178
207,Август,89,191
208,Леопольд,88,56
209,Александра,96,22
210,Эрнест,55,19
211,Артем,79,101
212,Венедикт,53,102
213,Стивен,90,202
214,Василий,86,29
215,Сократ,30,118
216,Юлия,25,14
217,Берек,51,255
218,Азиза,93,25
219,Юлия,45,25
220,Моисей,59,148
221,Всеволод,59,7
222,"Ульяна, Юлиана",70,137
223,Афанасий,70,165
224,Савва,29,81
225,Глафира,48,2
226,Кондрат,52,205
227,Конкордий,33,274
228,Снежана,90,289
229,Игорь,24,280
230,Евдокия,55,65
231,Генрих,60,246
232,Рафик,28,51
233,Евграф,66,32
234,Конкордий,60,168
235,Назарий,80,71
236,Родион,97,272
237,Витольд,50,5
238,Конкордий,23,139
239,Евгения,20,137
240,Аурелия,36,61
241,Владимир,20,98
242,Ринат,49,226
243,Ролан,85,15
244,Цветана,72,98
245,Таис,71,59
246,Илиан,91,195
247,Эльза,96,288
248,Афанасий,48,132
249,Арон,20,138
250,Устина,20,84
251,Теодор,83,259
252,Юлиан,44,235
253,Виссарион,96,295
254,Эммануил,31,284
255,Ждан,18,120
256,Ядвига,60,212
257,Владимир,38,56
258,Ванда,92,165
259,Ахмет,21,58
260,Сократ,18,277
261,Владислава,62,141
262,Мартин,96,188
263,Чеслава,44,72
264,Адис,19,206
265,Аврора,64,123
266,Ядвига,23,120
267,Иржи,56,153
268,Алана,98,63
269,Янита,66,221
270,Фридрих,73,25
271,Эдита,50,80
272,Даниил,90,147
273,Геральд,76,40
274,Денис,45,281
275,Севастьян,85,36
276,Григорий,95,111
277,Рем,26,148
278,Антонина,54,8
279,Вероника,84,281
280,Варвара,90,44
281,Владислава,58,30
282,Ярослава,93,71
283,Евдоким,74,74
284,Степан,31,168
285,Береслава,33,185
286,Наум,72,202
287,Данута,55,117
288,Тихон,85,208
289,Алан ,57,177
290,Христофор,54,272
291,Леопольд,68,256
292,Авдей,41,198
293,Донатос,44,211
294,Зинаида,28,159
295,Георгий,99,277
296,Альберта,26,165
297,"Арсен, Арсений",79,139
298,Екатерина,76,216
299,Гелена,69,30
300,Евдоким,87,291
301,Дмитрий,66,251
302,Артем,47,167
303,Рафаил,54,52
304,Лев,45,133
305,Даниэла,22,171
306,Диана,32,223
307,Донат,30,39
308,Белла,86,159
309,Арина,82,86
310,Сусанна,32,183
311,Геннадий,36,48
312,Арон,53,171
313,Ангелина,84,217
314,Филимон,54,157
315,Венера,35,286
316,Даниэла,38,159
317,Тала,73,120
318,Гордон,66,107
319,Августа,71,291
320,Константин,83,182
321,Ибрагим,31,197
322,Ефрем,75,92
323,Дайна,50,142
324,Эмиль,93,194
325,Эмилия,81,116
326,Ростислав,39,3
327,Фаиза,51,190
328,Равиль,96,52
329,Аваз,70,177
330,Израиль,47,253
331,Гавриил,39,136
332,Варвара,44,244
333,Игорь,33,213
334,Эмилия,86,108
335,Соломон,73,59
336,Клавдий,81,106
337,Диана,82,29
338,Петр,27,38
339,Петр,86,262
340,Бруно,63,82
341,Земфира,20,146
342,Эльдар,52,63
343,Амадей,70,180
344,Евгения,94,128
345,Мирослав,21,270
346,Элин,34,107
347,Афанасий,46,297
348,Береслава,45,130
349,Артур,41,257
350,Устин,44,259
351,Ростислав,92,248
352,Сима,34,168
353,Автандил,84,7
354,Ратмир,23,44
355,Демид ,83,4
356,Эраст,89,285
357,Парамон,23,154
358,Диодора,56,117
359,Порфирий,100,54
360,Тамаз,24,45
361,Биргит,24,239
362,Осип,85,39
363,Наум,70,59
364,Анита,50,284
365,Глория,35,220
366,Теодор,51,279
367,Никифор,92,122
368,Веста,41,131
369,Хильда,20,119
370,Юлиан,26,296
371,Илиан,46,70
372,Даниил,30,109
373,Христина,53,132
374,Филипп,22,94
375,Роберт,53,136
376,Серафим,99,105
377,Володар,74,73
378,Хильда,72,263
379,Мартин,80,30
380,Виталина,66,170
381,Бронислав,59,126
382,Георгина,40,176
383,Яромир,60,9
384,Федор,64,184
385,Алико,39,137
386,Виктория,57,117
387,Фрида,95,128
388,Аристарх,74,120
389,Динара,63,121
390,Витольд,89,141
391,Тамара,25,282
392,Ариадна,88,32
393,Фаддей,35,298
394,Элеонора,72,121
395,Авдей,32,36
396,Равиль,65,125
397,Архип,61,43
398,Ионос ,26,30
399,Янита,92,62
400,Герасим,33,26
401,Ион,91,26
402,Арам,67,60
403,Радомир,25,163
404,Юрий,69,132
405,Мераб,38,158
406,Хильда,79,184
407,Марат,89,154
408,Милан,86,162
409,Раймонд,32,253
410,Карл,45,237
411,Глеб,35,239
412,Сергей,53,27
413,Фидель,84,18
414,Вячеслав,52,44
415,Дана,98,94
416,Леонард,51,224
417,Кирилл,99,105
418,Тихон,44,37
419,Ермолай,50,16
420,Ануфрий ,48,163
421,Изольда,79,279
422,Амелия (Амалия),51,2
423,Евгений,51,37
424,Эраст,88,41
425,Христиан,31,194
426,Андоим,39,2
427,Фая,29,226
428,Тала,69,116
429,Берта,52,151
430,Радомир,79,155
431,Вячеслав,19,261
432,Ждан,75,151
433,Степан,77,178
434,Ванда,75,254
435,Мадлен,100,16
436,Берек,71,73
437,Флорентий,38,187
438,Янита,53,104
439,Эмилия,21,166
440,Эдуард,65,284
441,Илларион,93,115
442,Юрий,100,110
443,Арий,65,18
444,Боголюб,39,285
445,Виктория,40,133
446,Дарина,92,202
447,Елизавета,63,113
448,Давид,37,154
449,Александра,34,274
450,Жан,62,51
451,Карен,24,42
452,Клемент,30,12
453,Марат,42,84
454,Иван,23,240
455,Тимофей,18,199
456,Ионос ,60,245
457,Василиса,22,236
458,Эдвард,32,10
459,Амелия (Амалия),25,129
460,Радий,46,33
461,Агнесса,46,200
462,Наум,73,242
463,Боян,73,290
464,Владислава,91,280
465,Рем,55,138
466,Макар,25,35
467,Архип,61,42
468,Динара,74,104
469,Герасим,81,191
470,Феликс,93,236
471,Ахмет,45,96
472,Никита,88,151
473,Изольда,81,299
474,Эдвард,71,195
475,Володар,78,133
476,Дональд,70,107
477,Модест,29,81
478,Назар,90,1
479,Дионисия,93,57
480,Ахмет,22,89
481,Ева,41,54
482,Оскар,54,7
483,Томила,69,181
484,Цветана,41,189
485,Ульманас,25,276
486,Вероника,82,130
487,Эмма,61,191
488,Емельян,74,13
489,Бежен ,92,49
490,Дональд,18,45
491,Авдей,94,227
492,Элеонора,48,75
493,Наум,18,252
494,Донатос,27,268
495,"Ульяна, Юлиана",76,86
496,Береслава,22,278
497,"Сильва, Сильвия",88,93
498,Даниэла,43,68
499,Илиан,22,10
500,Ева,71,24
501,Устин,50,38
502,Эраст,90,222
503,Исай,96,102
504,Герман,41,295
505,Дана,70,9
506,Измаил,45,193
507,Амина,47,174
508,Фома,22,210
509,Порфирий,73,154
510,Матвей,37,5
511,Эраст,63,180
512,Азиза,56,245
513,Ярослав,84,24
514,Лазарь,86,132
515,Иоанна,95,149
516,Антонина,79,282
517,Агния,92,216
518,Анита,29,276
519,Иветта,44,4
520,Леонард,70,68
521,Агния,50,103
522,Осип,20,69
523,"Ульяна, Юлиана",35,168
524,Бежен ,71,104
525,Вера,77,240
526,Филипп,19,87
527,Эрнест,66,262
528,Дарина,92,67
529,Оскар,85,104
530,Фидель,67,276
531,Евдокия,71,64
532,Людвиг,26,164
533,"Арсен, Арсений",38,235
534,Прохор,61,272
535,Адис,57,82
536,Дмитрий,65,174
537,Георгий,24,147
538,Егор,67,32
539,Клод,59,296
540,Иржи,74,69
541,Станислав,20,91
542,Амелия (Амалия),90,184
543,Эльмира,88,196
544,Ольга,28,237
545,Екатерина,22,205
546,Лазарь,27,128
547,"Вида, Видана",100,45
548,Цветана,50,59
549,Симона,78,54
550,Гастон,31,218
551,Савва,62,205
552,Божена,43,203
553,Ахмет,24,281
554,Демид ,37,79
555,Христя,95,238
556,Ираида,36,41
557,Боголюб,33,253
558,Томила,18,201
559,Мариан,72,210
560,Яна,71,28
561,Стелла,33,83
562,Бежен ,52,65
563,Юхим,41,292
564,Гаянэ,89,258
565,Тимур,50,190
566,Адриан,84,140
567,Ринат,75,109
568,Арно,89,86
569,Эрик,77,33
570,Григорий,21,106
571,Роберт,25,276
572,Мичлов,20,62
573,Ролан,88,179
574,Матвей,74,30
575,Владислав,39,263
576,Анатолий,81,257
577,Никита,48,270
578,Адриан,51,20
579,Виргиния,80,216
580,Земфира,21,14
581,Елисей,68,107
582,Сарра,38,91
583,Бруно,98,222
584,Антонина,39,2
585,Ангелина,80,28
586,Вилора,97,266
587,Евгений,95,272
588,Адель,24,38
589,Илья,36,162
590,Юнона,96,253
591,Вальтер,79,237
592,Алиса,73,106
593,Лазарь,95,88
594,Глеб,20,135
595,Анисья,91,208
596,"Сильва, Сильвия",25,215
597,Станислава,93,159
598,Юнона,95,163
599,Роман,97,200
600,Федор,91,115
601,Ярослав,18,116
602,Анэля,66,78
603,Устин,81,18
604,Андрей,34,222
605,Доля,35,193
606,Наум,36,181
607,Тамаз,44,225
608,Захария,97,236
609,Дионисия,59,204
610,Тихон,18,140
611,Белла,95,68
612,Вениамин,70,120
613,Жанна,35,289
614,Оскар,18,129
615,Дайна,96,186
616,Тимур,80,128
617,Агнесса,22,42
618,Рем,74,64
619,Харитон,75,263
620,Алан ,50,144
621,Анфиса,97,157
622,Эрика,32,143
623,Клемент,44,205
624,Агния,28,5
625,Карл,92,242
626,Дарья,30,186
627,Муслим,40,135
628,Софья,76,133
629,Святослав,66,17
630,Автандил,54,236
631,Адольф,96,289
632,Яна,66,165
633,Милан,25,203
634,Георгина,20,233
635,Элин,54,277
636,Клим ,30,272
637,Веселина,46,136
638,Яромир,43,76
639,Амадеус,45,242
640,Арнольд,83,40
641,Светлана,64,211
642,Макар,54,205
643,Михаил,98,147
644,Земфира,69,281
645,Иветта,29,99
646,Давид,66,242
647,Богдана,39,3
648,Архелия,24,194
649,Муслим,58,64
650,Алексей,47,13
651,Владлен,18,249
652,Симона,66,194
653,Диодора,77,6
654,Матвей,93,99
655,Алан ,46,158
656,Алана,54,93
657,Лазарь,43,290
658,Нифонт,71,162
659,Альбина,32,149
660,Божена,93,297
661,Таира,40,192
662,Олег,71,22
663,Амелия (Амалия),19,173
664,Ася,82,1
665,Ефим,63,163
666,Ульманас,48,58
667,Ерофей,66,271
668,Дана,66,255
669,Святослав,69,62
670,Муслим,49,187
671,Рубен,45,148
672,Савел,42,61
673,Анатолий,78,248
674,Ефрем,89,265
675,Владислава,95,64
676,Ратмир,26,24
677,Евгения,51,20
678,Игорь,34,44
679,Дональд,61,40
680,Чеслава,95,99
681,Боян,37,149
682,Джульетта,28,91
683,Ефимий,97,7
684,Фелиция,72,83
685,Эраст,76,56
686,Ариадна,88,276
687,Инна,41,181
688,Герман,35,102
689,Дарья,44,208
690,Тамаз,65,38
691,Соломон,88,58
692,Арнольд,91,59
693,Юзефа,85,197
694,Божена,95,252
695,Дмитрий,46,176
696,Гавриил,44,24
697,Ким,43,277
698,Ираида,77,68
699,Ираида,68,14
700,Андрей,55,259
701,Зигмунд,67,113
702,Наум,79,233
703,Андрей,81,272
704,Андоим,52,87
705,Аваз,56,292
706,Ион,50,291
707,Тимофей,57,227
708,Бонифаций,49,137
709,Гавриил,31,9
710,Береслава,73,194
711,Георгий,37,99
712,Боголюб,41,146
713,Константин,100,279
714,Белла,68,138
715,Беатриса,44,58
716,"Анжела, Анжелика",31,94
717,Ада,80,221
718,Мариан,72,191
719,Демид ,24,231
720,Стефания,27,269
721,Ядвига,36,59
722,Элоиза,68,107
723,Виталий,94,273
724,Вероника,55,263
725,Захария,20,24
726,Томила,39,106
727,Феликс,60,10
728,Раймонд,56,131
729,Феликс,90,130
730,Элоиза,46,79
731,Эдита,91,44
732,Христина,79,139
733,Ивона,34,111
734,Вилен,45,246
735,Ясон,76,174
736,Сима,57,254
737,Роман,63,43
738,Бенедикт,29,101
739,Юнона,80,222
740,Элеонора,99,223
741,Чеслава,38,244
742,Леопольд,86,72
743,Никон,70,175
744,"Арсен, Арсений",90,50
745,Игорь,50,12
746,Дайна,22,55
747,Мирон,61,77
748,Илларион,58,138
749,Давид,88,264
750,Симона,24,257
751,Святослав,62,100
752,Глафира,48,155
753,Всеволод,42,65
754,Клим ,55,55
755,Назар,75,270
756,Осип,67,65
757,Владимир,94,286
758,Савел,48,152
759,Донатос,25,113
760,Емельян,59,39
761,Анэля,30,29
762,Бернар,28,210
763,Артур,57,214
764,Элла,77,206
765,Клемент,27,106
766,Назар,66,42
767,Беатриса,34,244
768,Сима,61,215
769,Феликс,28,155
770,Альберта,92,278
771,Алан ,77,90
772,Василиса,31,262
773,Альфред,25,96
774,Франц,78,114
775,Ульманас,28,65
776,Джордан,76,218
777,Бруно,84,68
778,Сократ,25,15
779,Гавриил,32,136
780,Олан,87,260
781,Ерофей,68,41
782,Владислава,42,222
783,Моисей,89,17
784,Эльза,26,8
785,Дана,27,123
786,Витольд,68,219
787,Теодор,96,216
788,Таисия,26,259
789,Феодосий,87,37
790,Бронислав,94,16
791,Сергей,49,216
792,Ибрагим,69,220
793,"Ульяна, Юлиана",43,96
794,Эдита,26,222
795,Зигмунд,37,255
796,"Фаня, Фанни",70,220
797,Агата,20,122
798,Зара,27,14
799,Эдуард,32,245
800,Диана,25,262
801,Динара,47,21
802,Натан,89,34
803,Аркадий,58,295
804,Илиан,77,167
805,Екатерина,35,187
806,Бронислав,29,26
807,Франсуаза,67,248
808,Кузьма,94,58
809,Яким,95,180
810,Ефимий,30,108
811,Янка,34,147
812,Анисья,65,28
813,Виталий,29,284
814,Северин,52,128
815,Диодора,76,231
816,Олесь,58,44
817,Сарра,63,232
818,Дорофей,18,295
819,Альбина,26,200
820,Герасим,27,160
821,Елена,70,105
822,Тит,86,99
823,Назарий,95,175
824,Алина,72,181
825,Святослав,45,284
826,Эсмеральда,22,145
827,Ванда,85,192
828,Эмиль,72,165
829,Ибрагим,81,134
830,Амаяк,85,283
831,Дебора,26,215
832,Феликс,64,75
833,Евграф,85,56
834,Алана,70,73
835,Хильда,87,244
836,Леопольд,86,141
837,Франсуаза,69,8
838,Геннадий,19,95
839,Эдуард,25,255
840,Рафаил,78,253
841,Максимилиан,91,20
842,Эльга,99,100
843,Доминика,51,284
844,Фидель,75,123
845,Теодор,58,208
846,Петр,85,225
847,Гордон,42,207
848,Бронислав,98,32
849,Галина,63,206
850,Мирослав,80,131
851,Виолетта,82,115
852,Ионос ,21,41
853,Валерия,86,227
854,Элла,72,32
855,Санта,91,223
856,Данута,51,75
857,Алина,52,94
858,Захар,82,89
859,Фридрих,56,81
860,Эльмира,100,288
861,Христофор,58,174
862,Тибор,36,152
863,Раис,79,121
864,Богдана,83,263
865,Феодосий,47,29
866,Рудольф,75,32
867,Михаил,64,16
868,Данута,82,291
869,Мануил,40,5
870,Елена,29,212
871,Савва,93,71
872,Матвей,96,77
873,Тигран,81,174
874,Аркадий,22,114
875,Орест,92,35
876,Рифат,81,94
877,Артемий,38,163
878,Афанасий,88,53
879,Алексей,67,182
880,Виктория,38,90
881,Эрнест,96,176
882,Изольда,28,60
883,Устин,52,278
884,Ростислав,78,68
885,Даниэла,31,142
886,Евгений,86,294
887,Ринат,25,162
888,Тала,80,212
889,Яна,21,189
890,Тихон,82,197
891,Натан,87,272
892,Изабелла,55,138
893,Мичлов,98,107
894,Эрнест,27,212
895,Боголюб,88,190
896,Илья,31,69
897,Гражина,74,154
898,Ирина,49,205
899,Роберт,77,50
900,Евгений,34,56
901,Аскольд,40,127
902,Гюзель,38,179
903,Тала,35,131
904,Семен,30,293
905,Роберт,50,74
906,Таис,65,136
907,Алана,78,196
908,Роберт,21,95
909,Люсьен,27,219
910,Санта,80,291
911,Александра,99,87
912,Кузьма,27,184
913,Мадлен,19,9
914,Леонтий,46,207
915,Севастьян,86,66
916,Леопольд,36,150
917,Градимир,99,53
918,Константин,54,61
919,Илиан,42,283
920,Тигрий,31,129
921,Ануфрий ,35,106
922,Люсьен,87,143
923,Парамон,49,209
924,Харитон,98,59
925,Венера,38,236
926,"Вета, Иветта",77,208
927,Рем,69,24
928,Ева,57,169
929,Эдуард,73,216
930,Леонард,59,204
931,Адис,88,232
932,Даниэла,71,162
933,Петр,63,5
934,Береслава,47,219
935,Фридрих,51,145
936,Арнольд,86,127
937,Бронислав,91,141
938,Азиза,41,75
939,Фелиция,68,83
940,Христина,33,192
941,Владислав,27,223
942,Амелия (Амалия),19,84
943,Христос,29,38
944,Демид ,37,229
945,Руслан,21,79
946,Венедикт,36,144
947,Рустам,88,24
948,Христя,86,37
949,Венедикт,95,117
950,Эсмеральда,62,94
951,Гордей,91,180
952,Эдвард,89,290
953,Эсмеральда,65,78
954,Яромир,81,14
955,Нифонт,39,210
956,Сократ,69,259
957,Бернар,36,154
958,Ждан,61,252
959,Адель,27,10
960,Святослав,19,58
961,Никон,77,220
962,Фома,26,96
963,Вера,50,196
964,Филипп,47,144
965,Емельян,32,243
966,Вилен,41,16
967,Томила,37,73
968,Степан,63,58
969,Юстина,29,235
970,Василий,45,120
971,Кирилл,92,249
972,Альфред,42,185
973,Гражина,55,54
974,Элин,20,164
975,Вольдемар,75,138
976,Святослав,78,120
977,Цветана,79,188
978,Варвара,91,245
979,Альбина,76,276
980,Геннадий,79,288
981,Руслан,89,132
982,Эльмира,78,194
983,Моисей,57,162
984,Георгий,50,8
985,Ванда,89,209
986,Тельман,91,31
987,Чеслава,36,49
988,Аким,41,122
989,Макар,56,171
990,Максимилиан,51,144
991,Владимир,74,147
992,Дана,44,201
993,Исай,24,178
994,Генриетта,54,125
995,Елисей,47,46
996,Максим,98,82
997,Автандил,22,26
998,Николай,44,156
999,Эрик,62,237
1000,Талик,94,211
1001,Радомир,87,111
1002,Рашид,45,222
1003,Берек,56,61
1004,Генрих,44,244
1005,Ульманас,40,61
1006,Христиан,47,211
1007,Юхим,33,97
1008,Людвиг,76,118
1009,Изольда,36,183
1010,Симона,98,182
1011,Динара,36,108
1012,Тимур,19,94
1013,Всеволод,52,195
1014,Дарина,22,96
1015,Элоиза,45,8
1016,Евдокия,58,101
1017,Белла,48,143
1018,Альберта,72,207
1019,Фелиция,54,51
1020,Янита,62,104
1021,Агнесса,30,260
1022,Янка,74,74
1023,Евдоким,42,215
1024,Болеслав,41,128
1025,Леонард,22,251
1026,Сусанна,46,98
1027,Клим ,89,298
1028,Рафик,61,66
1029,Сократ,73,44
1030,Теодор,100,147
1031,Евграф,32,7
1032,Аза,49,281
1033,Леопольд,58,167
1034,Рем,96,110
1035,Зигмунд,79,36
1036,Иннокентий,37,252
1037,Ион,20,41
1038,Радомир,40,52
1039,Ростислав,25,190
1040,Мариан,31,235
1041,Назарий,76,220
1042,Алан ,84,133
1043,Исай,69,132
1044,Богдана,70,271
1045,Боголюб,34,235
1046,Элеонора,46,145
1047,Яков,60,86
1048,Глория,94,65
1049,Севастьян,88,286
1050,Вера,64,224
1051,Ярослав,22,244
1052,Люсьен,71,164
1053,Христиан,91,266
1054,Яна,42,216
1055,Эмма,56,202
1056,Анита,85,47
1057,Доля,78,63
1058,Бронислава,65,91
1059,Дорофей,51,272
1060,Мераб,47,289
1061,Августа,22,55
1062,Земфира,83,270
1063,Флора,76,189
1064,Георгий,92,43
1065,Алексей,39,190
1066,Конкордий,92,191
1067,Никифор,74,239
1068,Мариан,41,122
1069,Стоян,90,219
1070,Франц,40,39
1071,Амелия (Амалия),56,270
1072,Георгина,89,250
1073,Екатерина,30,39
1074,Тигран,79,153
1075,Геральд,89,212
1076,Ясон,57,36
1077,Сима,75,257
1078,Дана,65,249
1079,Вольдемар,72,222
1080,Инара,86,231
1081,Жан,25,201
1082,Виталина,48,11
1083,Гера,37,165
1084,Равиль,27,135
1085,Никон,58,211
1086,Богдана,87,225
1087,Евстафий,100,258
1088,Альжбета,47,282
1089,Соломон,18,36
1090,Василий,47,62
1091,Тихон,35,192
1092,Тельман,24,248
1093,Тамара,90,298
1094,Макар,53,233
1095,Эльдар,24,249
1096,Августа,61,184
1097,Архип,78,29
1098,Ярослав,19,99
1099,Альберт,44,94
1100,Радий,25,296
1101,Автандил,63,52
1102,Амаяк,39,289
1103,Янка,29,143
1104,Азарий,74,213
1105,"Сильва, Сильвия",44,144
1106,Людвиг,89,71
1107,Демьян ,80,93
1108,Станислава,28,25
1109,Анисья,37,171
1110,Евграф,75,197
1111,Евграф,18,131
1112,Франц,31,147
1113,Глеб,39,16
1114,Олесь,96,231
1115,Карен,31,131
1116,Ефрем,20,74
1117,Владлен,74,271
1118,Марат,77,102
1119,Вениамин,74,190
1120,Фелиция,83,174
1121,Святослав,34,65
1122,Берта,32,48
1123,Леонид,42,183
1124,Флорентий,24,143
1125,Эмма,63,28
1126,Святослав,53,283
1127,Борислав,64,279
1128,Жорж,86,124
1129,Алиса,18,208
1130,Ярослав,99,44
1131,Динара,37,13
1132,Бронислав,62,2
1133,Франц,37,183
1134,Анита,85,238
1135,Радомир,52,199
1136,Никон,21,173
1137,Тамара,80,198
1138,Сарра,57,254
1139,Глеб,36,101
1140,Снежана,62,13
1141,Витаутас,42,82
1142,Эраст,54,124
1143,Игнат,89,15
1144,Вилен,95,182
1145,Сусанна,51,195
1146,Варвара,44,2
1147,Анэля,23,276
1148,Зигмунд,77,213
1149,Борислав,68,231
1150,Евгений,37,213
1151,Яков,30,15
1152,Мурат,64,295
1153,Амадей,80,81
1154,Агния,29,207
1155,Рудольф,89,260
1156,Евграф,88,152
1157,Станислава,48,70
1158,Ратмир,76,226
1159,Виктор,92,137
1160,Эсмеральда,32,173
1161,Элин,60,125
1162,Авдей,46,39
1163,Фаина,95,268
1164,Сергей,66,91
1165,Адис,27,277
1166,Орест,85,234
1167,Жорж,91,79
1168,Элла,44,197
1169,Олан,45,212
1170,Аурелия,68,250
1171,Вилен,74,226
1172,Сергей,52,55
1173,Валерий,71,58
1174,Адис,24,157
1175,Максим,65,292
1176,Ева,21,231
1177,Иоланта,76,92
1178,Гертруда,62,165
1179,Дорофей,63,295
1180,Софья,81,120
1181,Валентина,91,41
1182,Эрик,79,145
1183,Эрика,54,106
1184,Леопольд,80,157
1185,Артемий,77,216
1186,Фома,46,238
1187,Светлана,68,130
1188,Артур,62,209
1189,Владислава,27,64
1190,Тит,55,250
1191,Стефания,80,7
1192,Юнона,26,277
1193,Эльга,78,252
1194,Илларион,55,10
1195,Юстина,68,79
1196,Диана,62,118
1197,Денис,82,39
1198,Юзефа,72,54
1199,"Анжела, Анжелика",62,296
1200,Екатерина,32,122
1201,Динара,32,248
1202,Глафира,21,229
1203,Ануфрий ,89,218
1204,Злата,24,158
1205,Гастон,22,34
1206,Софья,72,50
1207,Болеслав,61,65
1208,Эмилия,62,183
1209,Александра,47,279
1210,Витаутас,77,133
1211,"Анжела, Анжелика",61,188
1212,Евдокия,37,39
1213,Муслим,35,84
1214,Эмилия,57,210
1215,Ибрагим,41,125
1216,Рубен,29,134
1217,Равиль,93,235
1218,Лев,80,195
1219,Фаина,32,119
1220,Платон,57,150
1221,Даниэла,30,180
1222,Донатос,86,233
1223,Екатерина,96,101
1224,Захар,46,193
1225,Эмма,27,62
1226,Зигмунд,33,199
1227,Янита,63,23
1228,Кирилл,69,76
1229,Зинаида,87,30
1230,Леонид,18,29
1231,Альфред,32,103
1232,Талик,81,219
1233,Василий,28,148
1234,Эрика,21,251
